LABEL,TEXT,URL,EMAIL,PHONE
spam,full talk time offer get rs talk time with recharge of rs  rs instant  rs within hrs vodafone offer valid till next  days,No,No,No
spam,dear customer  rush to get flat  off on branded fmcg products and  discount on ladies  kids shorts today on  at dhiraj sons aai mata road,No,No,No
spam,enjoy online shopping feather e martonline supermarket now  smart city of kerala log onto wwwfeatheremartcom,No,No,No
spam,e renew to get an additional rs off on the existing discount offer valid till th may only,No,No,No
smishing,VK HDFCBK Alert Your current version of the MobileBanking App be no long support Please upgrade to the new MobileBanking App hdfcbk.co/aXivco Please ignore if you 've already download,No,No,No
smishing,superfast quadcore processor  g android smartphone iball arc with  screen   gb  mp camera  fm  just rs  limited stocks hurry call,No,No,No
spam,Stand upright  speak thy thoughts  declare The truth thou hast  that all may share; Be bold  proclaim it everywhere: They only live who dare.,No,No,No
smishing,Congrats Dear Your A C XXXX6971 can be credit with Rs XXXXXX Verify your Email to Receive your amount T C http://xq3i.com/HWAHLNLKYQLLN,Yes,No,No
smishing,Dear customer your SBI Net Banking account have be block please check your A C detail click here to login your net banking http://bit.ly/3A34FHL,Yes,No,No
smishing,time to upgrade ur old electronics with new onesezone get best value on old electronicsget  cashback on yes bank cards payback pts back till feb tnc,No,No,No
ham,Is there coming friday is leave for pongal?do you get any news from your work place.,No,No,No
spam,congratulations you are eligible for ebays yearend flash sale your code for sandisk gb pen drive will be sent to you  am be ready limited stocks,No,No,No
smishing,PRIVATE! Your 2004 Account Statement for 07742676564 shows 786 unredeemed Bonus Points. To claim call 08719180249 Identifier Code: 45239 Expires,No,No,Yes
ham,Anything lar then Ì_ not going home 4 dinner?,No,No,No
ham,"Dear all, as we know  &lt;#&gt; th is the  &lt;#&gt; th birthday of our loving Gopalettan. We are planning to give a small gift on that day. Those who like to participate in that you are welcome. Please contact our admin team for more details",No,No,No
smishing,unbelievable but true book bhk flat in gurgaon secstartjst  lacs draw resultpossesion in yr book by  only call,No,No,No
smishing,hi saumyak sharma  we are missing you let us treat you use fp and get  off here httpsgooglnahjg additional  cashback on paying via paytm,No,No,No
ham,Unless it's a situation where YOU GO GURL would be more appropriate,No,No,No
spam,Only when we are ready to give up without calculation or fear of results we are able to do big things.,No,No,No
smishing,big new for sang froid labs ltd  company gets approval for riten syrup to sell in us market which effect sale   cmp  buy for tgt,No,No,No
smishing,get rs cr  monthly income of rs   as lifecover for your family by investing rs month save taxto know more sms plus to  hdfc lifetcapply,No,No,No
ham,U studying in sch or going home? Anyway i'll b going 2 sch later.,No,No,No
spam,it s ladies night myntra we re celebrating with flat  off on the brands you love get unbelidabefffbceeffbcfacable deals only today http msg mn vgxi pqtxavuwahk,No,No,No
spam,Now GET RID OFF-Cockroach-Termite-Bedbug-Rats-Any Pest4Best DEALS inPestControlServices/Chemical/Herbal/OdorlessDIAL-N-ASK011-62222222,No,No,Yes
spam,hi dear customer  special offers on woodland  off on selective footwear  garment  t  c  and added new summer collection  kunal tower mall road ldh,No,No,No
ham,No no. I will check all rooms befor activities,No,No,No
smishing,In XXXX a whopping XX of Which survey respondent who own a mobile phone do n't know they could report a spam text use XXXX,No,No,No
smishing,valentine special  cashback offer rs mein  necklace set  pendent set free rs gc homeshop pe aaj pm call  or bitlympluoz,No,No,No
ham,Congrats kano..whr s the treat maga?,No,No,No
ham,"We made it! Eta at taunton is 12:30 as planned, hope that‘s still okday?! Good to see you! :-xx",No,No,No
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.,No,No,No
smishing,"Congrats 2 mobile 3G Videophones R yours. call 09063458120 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl.",No,No,Yes
smishing,Dear Customer you have  2 free SMS to etisalat numbers. 10 free MMS to all etisalat lines. 12.89 MB data. 60 seconds free airtime.,No,No,No
smishing,get  cashback on purchase of voltas products through easyemi on hdfc bank credit cards offer applicable on pinelabs brand emi machine offer valid till th june  select emi option at the time of transaction t c apply,No,No,No
ham,Ok i've sent u da latest version of da project.,No,No,No
smishing,XXX Coins credit to your Bajaj EMIStore account Login to know more with a just click use mobile number OTP http://nmc.sg/bzDPv3 T C,Yes,No,No
smishing,Hi with reference to the Service Request no CDRTM3 WST20220422402870 relate to DND issue on your Airtel Number the call/SMS report by you be find to beservice in nature If you be not satisfy with the resolution contact XXX or Appellate to raise an appeal,No,No,Yes
ham,"Sure thing big man. i have hockey elections at 6, shouldnÛ÷t go on longer than an hour though",No,No,No
smishing,lt launching premium township projecthebbal  acres   bhk premium apartment  sft to sft  l onwards  call lt construction mob,No,No,No
smishing,9823XXXX61 receive payment of Rs 5500.00 by PAYTM Txn ID 9908XX25X Download now and Register to Receive your amount TnC http://i3fq.com/PVV6r,Yes,No,No
smishing,Dear customer Your SBI Bank has been Suspended Today please Update Your PAN CARD  Open for aknz.short.gy/DLqv M/ S SHARMA,No,No,No
smishing,Dear Customer Only You Got Xiaomi Special offer Buy Latest Redmi Note X Pro At Just Rs XX -Only Hurry Click Now- http://bit.ly/2SSOZER,Yes,No,No
ham,I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply.,No,No,No
spam,dear customer flat rs off on www bigbasket com with hdfc bank creditcard usecode bbhdfc valid sep  on orders above rs t c http bit ly jsly,No,No,No
smishing,Due to the overwhelming response to Jio Fiber across the country we be experience a surge of Orders We might require some more time to do INSTALLATION of your connection for Order No NO0000FJEINK Our Jio Service Engineer will visit your premise within X day to complete the INSTALLATION Thank you for your co operation,No,No,No
ham,Hey i will be late ah... Meet you at 945+,No,No,No
spam,Bills due next week XX FEB XX AIRTEL XX XX FEB XX LIC XX Track your Expenses Bills with Walnut One App for All Banks http://wnut.in/GetBillAlert,Yes,No,No
spam,CENSUS There be miss information from your Census application To update your application please visit via http://census-info-uk.com/ to avoid prosecution and a ÃÂ£ XXXX fine,Yes,No,No
smishing,buy  get  free offer is back on zivame time to reward yourself shop on everything you love and want grab now mdealcotmtmntknjk,No,No,No
spam,upto  off from nilkamalbring home a wide range of luxurious furniturerush to your store near city centre mall  untwadioffer valid till st martc apply,No,No,No
smishing,identify you as a contact of someone who recently test positive for Omicron You must book a home test kit http://pcr-home-test.com,Yes,No,No
ham,At 7 we will go ok na.,No,No,No
ham,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave...,No,No,No
spam,hi preetam   exclusive offer only for you till stocks last today men shoes flat    shoes httpysmrtlnkinremxvcb,No,No,No
spam,thank you saharanpur for making dr lal pathlabs the foremost pathology lab in  yearon our anniversary get  off on all pathology tests till  nov tc apply,No,No,No
smishing,Electricity Previous month bill be not update 9:30 pm power Dis-conecteds Please immediately contact XXXXXXXXXX Thank you,No,No,No
smishing,you earned  edge points in august total point balance is  as on  august know more download axis mobile app httpbitlyihajo,No,No,No
ham,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,No,No,No
spam,proof of conspiracy is conditional upon reasonable grounds to believe that two or more persons had conspired together to commit offence pws did not state as to what conspiracy was being hatched  their conduct was doubtful conspiracy not proved bvirupakshalah v state of karn crla   sc,No,No,No
spam,this holi get extra  off   cashback on your favourite brands of eyewear carnival ends th march limited stock hurry visit wwwlenskartcomholi,No,No,No
smishing,get  more data enjoy gb data for  days on recharge of rs recharge today or call  to activate this offer,No,No,No
smishing,special dhamaka sale get  off on grocery flat   extra  on mobikwik hurryonly till pm coupon ss free delivery minorder wwwaskmegrocerycom,No,No,No
smishing,only hrs left of the bonus weekend  central flat addtl off on rs   addtl  cashback on axis bank cards  earn payback ptsvalid till jantnc,No,No,No
spam,"Dear I be a H.R You be notice for home base task You can get Rs.3,000/Day http://wa.me/919679539378",Yes,No,Yes
spam,The delivery address be incorrect and your package can not be deliver http://pacgetsend.com/mPFo,Yes,No,No
ham,S:)8 min to go for lunch:),No,No,No
ham,Me fine..absolutly fine,No,No,No
smishing,special offer get gb g  rs toact  sms act mi to  or get gb g   toact sms act migul to  offer only for  bill cycles,No,No,No
spam,RMTransitGB Sorry you have not pay the 2.99 GBP transit fee http://safe-redirect-uk.com JD000131749280142,Yes,No,Yes
spam,holi surpise rs off on askmegrocery use get for rs off  extra  mobikwik cashback visit httpwwwaskmegrocerycom min purchase rs,No,No,No
spam,get extra  off on hotel booking at hotelscomsbi with your sbi card use promocode sbi booking validity till mar travel validity till juntc,No,No,No
ham,Yes. I come to nyc for audiitions and am trying to relocate.,No,No,No
spam,end of season sale  saliladesigner suits  sareesget flat  off on woolen suits  shawls hurry rush now  sco  sec a  chd,No,No,No
smishing,"You have win a Mastercard LOTOMATIC card of Ã¢ÂÂ¬ 1,000,000.00 in the MasterCard exclusive offer for the EU To claim email code EUR2DEU to info USER-eu.de",No,No,No
smishing,Here are some of the ways in which Sweet Potato may offer a variety of health benefits! Click the link: http://l.jazzmobilemag.pk/8ksKfR7/5c6c,Yes,No,No
spam,dear hdfc bank creditcard holder  flat rs off on thailand holidays on makemytrip till th sep discounts on other holidayscall   tcapply,No,No,No
smishing,Dear luno user Validate your Luno wallet on our XXXX 3D SSL server immediately to avoid suspension of wallet ick on http://bit.ly/ 2KfPeCR to validate,Yes,No,No
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",No,No,No
spam,Dear Costumer Your IPhone SE XXXX have be find and temporarily connect to the internet www.iCloud.Signed Support.com/ug2dB,Yes,No,No
smishing,Dear SIM USER Your Sim document verification be pending your SIM E kyc not Update play call now coustember service no XXXXXXXXXX your SIM we will be block affter 24hours ok Thanks,No,No,No
smishing,Revolut authentication code XXX-XXX Never share it with anyone ever If you do NOT request this code please visit help-service-gb.info,No,No,No
smishing,secure your loved ones and avail continued benefits by renewing your policy no  due on feb  for rs  at the earliest to avoid lapsation kindly ignore if already paidfor further details  call us at   canara hsbc obc life insurance,No,No,No
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart..,No,No,No
ham,Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,No,No,No
spam,hurry up  get flat  discount at club fox offer limited days only visit club fox st floor city centre mall nasik ph,No,No,No
smishing,GlaxoSmithKline 3.501 fixed rate bond Available Now FSCS Protected Min ÃÂ£ 25k -Max ÃÂ£ 85k Ending 25/01/21 http://tx.vc/r/ 1Fdr BL12 REGISTER HERE NOW,Yes,No,No
smishing,win kg gold in lucky draw book fully furnished  bhk homes starting rs lacs in kalyan by nirmal possession starting july  call,No,No,No
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",No,No,No
spam,Overload with BIG Data on Glo!Buy an Iphone6/6+ orany smartphone at any Gloworld andget 4.5GB at just N2 500 for use anytime-day/night for 30days.Njoy!,No,No,No
smishing,dear  saurabh trivedi connect life with sbi lifeensure maximum login through tab and earn hurry up offer limited till st jan,No,No,No
smishing,"Latest Nokia Mobile or iPOD MP3 Player +Â£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.Â£1,50/Mtmsgrcvd18+",No,No,No
smishing,lodha presents amara in thane with akshay  twinkle last  days to book  save rs  lac  bhk  lac  homes already sold call,No,No,No
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,No,No,No
spam,We need to update your information Please visit mymonzologin.info-xx.com to make sure your detail be up to date,No,No,No
smishing,"Here are secrets tips to make your children smarter during pandemic! For details, click the link: http://l.jazzmobilemag.pk/GxUZeku/e941",Yes,No,No
spam,Its just meaningless to expect your partner to be of your kind because you cannot hold their right hand in your right to walk together.,No,No,No
spam,your flipkartcom shipment was successfully delivered as requested thank you for shopping like flipkartcom youll love our app get it now httpfkrtitugtuuuun,No,No,No
spam,dear amlan  heres an offer you just cant miss shop worth rs  mention code   get  points back offer valid till marrush to hypercity,No,No,No
smishing,Dating Chatting Please join us for appointment to meet new friend,No,No,No
spam,Shop your hearts out as Outfitters celebrates Independence Day SALE at Flat 30% OFF online from 8th Aug https://bit.ly/3io3uM4 & in stores from 9th August 21.,Yes,No,No
spam,"WINTER COLLECTION'21 LIVE NOW! Stay warm this winter with our cozy Jackets, Blazers, Sweaters, Knits & much more. Shop in-stores & online. thecambridgeshop.com",No,No,No
smishing,nse future real super jackpot buy kpit tgt  sl its huge jackpot call pay  get daily  jackpot offer till pm  call on,No,No,No
spam,shop and get  off on footwear  the regal shoes summer shoe fest shop at parle point  bhagatalaotc,No,No,No
smishing,Call 14120 for FREE to get more AIRTIME today..,No,No,No
spam,mukesh kumar mukesh kumar  let your tshirt reflect your style check out our wide range of stylish graphic tees available on kraftly shop now at httpkraftlyjdvkdb,No,No,No
spam,You are today where your thoughts have brought you  you will be tomorrow where your thoughts take you.,No,No,No
ham,Oh ho. this the first time u use these type of words..I didn�t expected this...,No,No,No
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",No,No,No
smishing,New Era of Online Shopping at your fingertips.Logon to www.bidboon.com & win brand new premium products at huge discounts.Hurry now:Apple MacBook Pro on demand!,Yes,No,No
spam,Success without positive attitude is called luck but success with positive attitude is called achievement.,No,No,No
smishing,SBI your Account Will be block Today update your PAN Click http://bit.do/sehkd -vxdjjn NISA eSurveillance,Yes,No,No
smishing,Milestone Man! Which player holds the record of winning the most number of ATP World Tour Finals? 1) Pete Sampras 2) Roger Federer 3) Ivan Lendl ^1/ 2/ 3 Reply within 24 hrs to get a video FREE from Blyk on Aircel.,No,No,No
spam,dear rider  get rs off your first uber ride apply promo welcome  validity  week take your first trip now getubercomopenapp,No,No,No
smishing,There be an update on your parcel Item stop due to unpaid custom fee Follow the instruction here http://bit.do/fLGaw,Yes,No,No
smishing,get  off on patanjali products on order above rs   life aid pharmacy chat  order via paymango  get additional cashback claim now  httpswwwpaymangocomulabf,No,No,No
spam,"URGENT! Last weekend's draw shows that you have won å£1000 cash or a Spanish holiday! CALL NOW 09050000332 to claim. T&C: RSTM, SW7 3SS. 150ppm",No,No,Yes
smishing,win  rs  recharge talk time free  and chance to win car and bike subscribe in sports pack dial  now charges rs matchday,No,No,No
smishing,durlabh invited you to myntra sign up using code cncauf to get points worth rs download app httpmynttofakj,No,No,No
smishing,now protect your familys future at  rs   per day  get rs  crore life cover enjoy tax benefit sms bct to  tc apply,No,No,No
ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice,No,No,No
smishing,"Your mobile number have win 450,000 and iPhone XX in the ICC Cricket XXXX Kindly send your name phone number address to this email EMAIL",No,No,No
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.,No,No,No
spam,You Paid Rs.26 at Badarpur faridabad Toll Plaza of HR26CF5801 on 17/03/21 19:36:23 Avl Bal Rs.851.00 Txn ID FT2107619106904917,No,No,Yes
spam,EE We be unable to process your late bill In order to avoid fee update your bill information via eebill support.com,No,No,No
spam,get  off on groceries explore the largest products range on askmegrocery use flat for off  extra  mobikwik cashback visit httpwwwaskmegrocerycom,No,No,No
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,No,No,Yes
smishing,rs recharge  pmin for local reliance and pmin for other local and std calls for  days for special offers dial  toll free rcom,No,No,No
smishing,Plenty of people miss their share of happiness  not because they never found it but because they didnt stop to enjoy it.Savor every moment!,No,No,No
smishing,Dear Customer  you have successfully been unsubscribed from EasyTunez. You can subscribe again by sending RBTON to 251.    txt STOP to Opt-Out.Service will auto-renew   N50/3days.,No,No,No
smishing,Dear Customer Reference your DND SR SRO00014YDKF the concern operator have revert that the report call SMS could not be locate in the call record of the reported number hence no action have be take against the reported number SMS sender ID,No,No,No
ham,"Cool, want me to go to kappa or should I meet you outside mu",No,No,No
ham,Went to pay rent. So i had to go to the bank to authorise the payment.,No,No,No
smishing,use rs on voice calls between  to   earn a bonus of rs free conditions apply,No,No,No
ham,"Solve d Case : A Man Was Found Murdered On  16 April,   AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer..who is it?",No,No,No
spam,flying machine offer flat  off  many such exciting offers in the store for you    gip mall ground floor tnc  offer only for this weekend,No,No,No
ham,Aiyah then i wait lor. Then u entertain me. Hee...,No,No,No
spam,enjoy your lunch with dominos pizzaget  off min bill rs valid only on pizzas  breadcall cpn mobvldaprtc,No,No,No
spam,online property shopping festival week on bookmyhousecom at very attractive price  pay plans offer valid from  sep only limited units cl,No,No,No
ham,"Yes obviously, but you are the eggs-pert and the potato headÛ_ Speak soon!",No,No,No
ham,Lil fever:) now fine:),No,No,No
spam,rush to nearest cafe coffee day  get an assured freecharge cashback of rs  on every bill limited time offertc on wwwcafecoffeedaycom,No,No,No
smishing,SMS filter for Brazil Messages feature on-device intelligence that filter unwanted SMS message organise them into Promotional Transactional and Junk folder so your inbox can stay clutter-free,No,No,No
smishing,The Illinois Department of Employment security require you to verify your regular Unemployment Assistance Claim account Please complete your verification by follow the instruction in the link below http .com/Illinois/ides,No,No,No
spam,exclusive pre booking akshaytritiya offer for tbz customers  get  off on making charges of gold  diamond jewlry valid til maytbzthe original mumbaitc,No,No,No
smishing,for your travel starting  sep  for bangaloredelhi  makemytrip booking id nf amount charged rs  download app  httpbitlyursyr  use booking id as coupon to get  off on hotels tnc applyhttpbitlynnhru,No,No,No
spam,this might just cause a riotget min   extra  off on top styles for limited time only men httpmjabngfbnumvu women httpmjabnguzcol,No,No,No
ham,Call me when you get the chance plz &lt;3,No,No,No
smishing,You transferred N100.00 to 2348XXXXX598. Your new account balance is N0.00. Thanks for using share n sell service.,No,No,No
ham,"That means you got an A in epi, she.s fine. She.s here now.",No,No,No
ham,Think + da. You wil do.,No,No,No
smishing,Dear Customer Your Bsnl SIM CARD Document have be Pending Contact Customer Care No XXXXXXXXXX Callimmediately Your Bsnl SIM will be Blocked within 24hr Bsnl Team'we will Blocked `` Your BSNL SIM Call Customer Care XXXXXXXXXX immediately Your BSNL SIM will be Blocked '' within 24hrs BSNL '' Office,No,No,No
smishing,BUY ONE CRIZAL LENS AND GET THE OTHER ABSOLUTELY FREE VISIT OPTICAL PALACE SALTLAKE TODAY FOR MORE OFFERS OR CALL XXXXXXXXXX T C APPLY,No,No,No
spam,be attempt on 27/06 at 15:07 If this be not you proceed at http://santan.auth-id-30.com,Yes,No,No
ham,Haha i think i did too,No,No,No
ham,K go and sleep well. Take rest:-).,No,No,No
spam,ola shorter trips made more affordable now travel in delhincr at just rs  for first  km use the ola apphttpbitlyolacabs  apply code ncr tca,No,No,No
smishing,REE 3 Encyclopedia Britannica CD-ROMs set MRP Rs 1197. Just pay Rs 399 as handling charges on Gift Delivery.To Claim ur gift sms EBC to 53636.TnC appl,No,No,No
smishing,recharge sms stv get  sms valid days tc apply   stv local call anynet psec valid day  stv local call anynet psec  rs valid day,No,No,No
smishing,Please call our customer service representative on FREEPHONE 0808 145 4743 between 9am-11pm as you have WON a guaranteed Â£2000 cash or Â£6000 prize!,No,No,Yes
smishing,We 're beg Pledge to join Trump 's social site Its success require your support XX min until the link close forever gopwin.us/5an stop=end,No,No,No
spam,Photo sharing and Matrimonial services available on mZone. Subscribe to mZone from mobile. Visit http://wap.mzone.in or www.mzone.i,Yes,No,No
smishing,ONGCIN Facing Sms Delivery Issue Due To DLT Reforms Now Send Your SMS With Us Call XXXXXXXXXX,No,No,No
smishing,generate calls  leads for real estate education nbfc  others bulk sms   paisa flat call,No,No,No
smishing,Discover the mental health benefits of crying! Click this free video link for details: http://l.jazzmobilemag.pk/O7JMCtS/96c7,Yes,No,No
smishing,sabse sasta ghar in sec gr faridabad bhk  rs  lacs bhk  rs  lacs bank loan available booking amt   lac only call,No,No,No
smishing,you have moved down to dish  packyour total monthly recharge amount is now rs and your subscription is valid till,No,No,No
smishing,dear user  aircel non stop music at rs  for  days will be renewed in the next  day or based on balance available to unsubscribe sms stop,No,No,No
smishing,stitching at home is fun  easy order telebuys portable mini sewing machine today and get rs  worth aluminium wallet free give missed call to,No,No,No
spam,moneycontrol special offer ends today  flat  off on game changers by sudarshan sukhani  act now httpbitlyioxwzi,No,No,No
ham,Hey now am free you can call me.,No,No,No
spam,dear customer  best time to buy elec  appliances on finance in this sankranti at your nearest counter  enjoy the festival scheme offers hurry offer valid till th jan tc apply,No,No,No
spam,the wait is finally over apple iphone s now on ebay    use code louddwal  get flat  off max disc rs hurry visit httpbitlykobusd now,No,No,No
smishing,DHL Your parcel be arrive track here http://www.ltjesus.org/dh/ at2zzyk76djb,Yes,No,No
spam,dear customer use icici bank debit card to get  off on a bill of rs  or more at cafe coffee day outlets across india whats more get payback points for every rs  spent tnc,No,No,No
spam,PRAISE GOD WITH UR CALLER TUNE. For Jesus I Love You by E.Nkiru  Txt 032130 to 4100 OR For Thank You Lord by Amaka  txt 032139.Cost N50each,No,No,No
spam,kindness is a kind of magic  in return we get love which is eternal -M.H. Rakib,No,No,No
smishing,Dear user your SBI YONO Account will be close today please click here on the link update your PAN CARD Number http://updatekyclk-xyz .preview-domain.com,Yes,No,No
ham,Which is why i never wanted to tell you any of this. Which is why i'm so short with you and on-edge as of late.,No,No,No
spam,"UPDATE INR 10,000.00 debit from HDFC Bank XX7157 on XX AUG-21 Info XXXXXXXXXXXXXXXX Rev Singh GramPanchayatRWest Nimar MPIN Avl bal INR 4,37,342.50 UPDATE INR 10,000.00 debit from HDFC Bank XX7157 on XX AUG-21 Info XXXXXXXXXXXXXXXX Rev SinghGram PanchayatRWest Nimar MPIN Avl bal INR 3,97,342.50",No,No,No
smishing,get homeopathic treatment for all your health problems free consultation  give a missed call to  for your appointment valid till rd april,No,No,No
smishing,you contacted  anujagent    for  bhk  apartment in sector  block d price rs  be the first one to get owner properties posted in your locality download magicbricks app httpgoogllab,No,No,No
ham,"Sorry, was in the bathroom, sup",No,No,No
smishing,important we got your reference from your friends who have earned free recharges download earn talktime app  get rs bonus  httpsmsearntalktimecom,No,No,No
ham,Is it your yahoo boys that bring in the perf? Or legal.,No,No,No
ham,Ya i knw u vl giv..its ok thanks kano..anyway enjoy wit ur family wit 1st salary..:-);-),No,No,No
spam,incense exciting sale is still on now get flat  off on most items from rd jan till stock lasts tc vat extra to optout,No,No,No
smishing,"Dear friends, as the market begins to recover, we invite you to join the internal discussion group of the professional investment team. group will publish daily trading and teach you how to make huge profits in the cryptocurrency market. If you join this group, we have a gift for you and a chance to win 1000USD! Learn Click WhatsApp. ********* https://chat.whatsapp.com/LJDHNf8VNXpFOYjK6QQOaB",Yes,No,No
spam,exchange your old gold for gorgeous designs at reliance jewels bhopal with  deduction  also get  off on diamond jewelry til septtc ph,No,No,No
smishing,topup rc of mrp rs is successful ttrsrc of mrp is successful benefitxxx std mobile mins  pfrs strs mins valid tillddmmmyyyy  current bal is xxx dial  for bal  current balance is rsdial  for balance,No,No,No
spam,Thank you for speak with us Remember to pay N6800 Excludes HD PVR into SC XXXXXXXXXX on or before XX Nov to get X extra month on Compact T C apply MIN NG,No,No,No
smishing,opt in to our Flemington offer on the Promotions Page today and if your horse run 2nd or 3rd in Races X-X we 'll refund your stake in Rewards Points up to XX Opt In Now http://bit.ly/ WHMelbCupOffers Opt Out Txt STOP to XXXXXXXXXX,Yes,No,No
ham,University of southern california.,No,No,No
spam,lunch time basics from askmebazaar combo pack of swan  pc lunch box  megaslim  ml flask rs  shop httpgoogloncih get  cashback via mobikwik,No,No,No
spam,thank you for using askmebazaarcom as our esteemed customer  get flat  off on grocery usecode amg till jan only visit wwwaskmegrocerycom tc apply,No,No,No
spam,enjoy yourself with full body massage    in karol bagh at soul spa by high class goodlooking trained girlspeaceful placecall,No,No,No
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,No,No,No
smishing,Make easy money from your couch! Just send us $100 for registration and start earning $1000s weekly. Text NOW to get started.,No,No,No
ham,Ok how you dear. Did you call chechi,No,No,No
smishing,get personal loan up to rs lacs and make any number of part prepayments at nil charges sms pl to  tc apply regards  bajaj finserv,No,No,No
smishing,Dear User Your Airtel KYC Had Been Suspended ImmediatelyYour SIM Service Blocked Call XXXXXXXXXX Thank,No,No,No
smishing,fix with ease flat  off snap n grip multipurpose wrench set of   rs only at askmebazaar shop here httpgooglnyibbe extra  mobikwik cashback,No,No,No
